Year,Month,Day,Location,Country,Latitude,Longitude,EQ
2010,1,,Ecuador,Ecuador,-1.467,-78.442,
2010,3,31.0,Iceland-S,Iceland,63.63,-19.62,
2010,5,27.0,Guatemala,Guatemala,14.381,-90.601,
2010,5,29.0,Mariana Is-C Pacific,United States,16.708,145.78,EQ
2010,8,6.0,Sangihe Is-Indonesia,Indonesia,2.78,125.48,
2010,8,30.0,Sumatra,Indonesia,3.17,98.392,
2010,10,26.0,Java,Indonesia,-7.542,110.442,
2010,11,27.0,Ecuador,Ecuador,-1.467,-78.442,
2010,12,28.0,Java,Indonesia,-7.942,112.95,
2011,1,3.0,Java,Indonesia,-7.542,110.442,
2011,1,28.0,Kyushu-Japan,Japan,31.93,130.87,
2011,2,23.0,Luzon-Philippines,Philippines,12.77,124.05,
2011,3,18.0,Sangihe Is-Indonesia,Indonesia,2.78,125.48,EQ
2011,4,11.0,Ecuador,Ecuador,-1.467,-78.442,
2011,6,4.0,Chile-C,Chile,-40.59,-72.117,EQ
